Geração 1: Fitnesse Médio= 3679.1162, Melhor Fitness= 31365.7355, Melhor x: 3.9974, Melhor y: -1.7286.
Geração 2: Fitnesse Médio= 11418.8029, Melhor Fitness= 32334.1132, Melhor x: 3.9974, Melhor y: -2.0000.
Geração 3: Fitnesse Médio= 22527.0322, Melhor Fitness= 32334.1132, Melhor x: 3.9974, Melhor y: -2.0000.
Geração 4: Fitnesse Médio= 28833.3082, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 5: Fitnesse Médio= 30667.2316, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 6: Fitnesse Médio= 31622.2523, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 7: Fitnesse Médio= 31792.9147, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 8: Fitnesse Médio= 31597.7485, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 9: Fitnesse Médio= 31726.7245, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 10: Fitnesse Médio= 31958.0865, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 11: Fitnesse Médio= 31906.6071, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 12: Fitnesse Médio= 31445.8387, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 13: Fitnesse Médio= 31922.8350, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 14: Fitnesse Médio= 31600.0338, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 15: Fitnesse Médio= 31691.8722, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 16: Fitnesse Médio= 31880.0592, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 17: Fitnesse Médio= 31937.7046, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 18: Fitnesse Médio= 32000.1693, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 19: Fitnesse Médio= 31775.2190, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 20: Fitnesse Médio= 31695.4814, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 21: Fitnesse Médio= 31901.6856, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 22: Fitnesse Médio= 31833.9939, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 23: Fitnesse Médio= 31542.9543, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 24: Fitnesse Médio= 31744.8463, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 25: Fitnesse Médio= 31615.2521, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 26: Fitnesse Médio= 31740.1998, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 27: Fitnesse Médio= 31532.2168, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 28: Fitnesse Médio= 32038.9089, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 29: Fitnesse Médio= 31730.9180, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 30: Fitnesse Médio= 31802.8222, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 31: Fitnesse Médio= 31900.2120, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 32: Fitnesse Médio= 31934.1079, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 33: Fitnesse Médio= 31434.3287, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 34: Fitnesse Médio= 31721.4704, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 35: Fitnesse Médio= 31920.4026, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 36: Fitnesse Médio= 31696.1242, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
